Product Name,Sale Price (₹),Original Price (₹),Discount,Product URL
30 Assorted Sachets | 6 Different Flavours,129.00,150.00,Yes,https://www.bevzilla.co/products/30-assorted-sachets-6-different-flavours
Rechargable Frother,249.00,399.00,Yes,https://www.bevzilla.co/products/rechargable-frother-1
30 Assorted Sachets | 6 Different Flavours,149.00,150.00,Yes,https://www.bevzilla.co/products/bevzilla-30-assorted-coffee-powder-sachets-6-flavours
48 Choco Mocha Coffee Sachets + New Rechargeable Frother,519.00,698.00,Yes,https://www.bevzilla.co/products/bevzilla-48-choco-mocha-coffee-powder-sachets-new-bevzilla-rechargeable-frother
30 Assorted Coffee Sachets Box + Reusable Coffee Husk Tumbler - 300ml,379.00,549.00,Yes,https://www.bevzilla.co/products/bevzilla-30-assorted-coffee-powder-sachets-new-bevzilla-coffee-tumbler
30 Assorted Sachets ( 6 Flavours) + New Rechargeable Frother,499.00,549.00,Yes,https://www.bevzilla.co/products/bevzilla-30-assorted-coffee-powder-sachets-new-bevzilla-rechargeable-frother
48 Sachets Choco Mocha + Reusable Coffee Husk Tumbler - 300ml,349.00,549.00,Yes,https://www.bevzilla.co/products/bevzilla-48-choco-mocha-coffee-powder-sachets-new-bevzilla-coffee-tumbler
24 Assorted Pack + tumblr,449.00,519.00,Yes,https://www.bevzilla.co/products/24-assorted-pack-tumblr
24 Assorted Pack + Rechargeble Frother+Tumblr,599.00,918.00,Yes,https://www.bevzilla.co/products/24-assorted-pack-rechargeble-frother-tumblr
35 Coffee Butterscotch Flavour Instant Coffee Sachets,175.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-35-coffee-sachets-butterscotch-flavour
35 Vanilla Flavour Instant Coffee Sachets,175.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-35-coffee-sachets-vanilla-flavour
35 Hazelnut Flavour Instant Coffee Sachets,175.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-35-coffee-sachets-hazelnut-flavour
35 Classic Instant Coffee Sachets,175.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-35-coffee-sachets-classic-flavour
Bevzilla Instant Iced Tea Peach 15gm X 10,249.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-iced-tea-peach-15gm-x-10
Bevzilla Instant Iced Tea Lemon 15gm X 10,249.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-iced-tea-lemon-15gm-x-10
35 Caramel Flavour Instant Coffee Sachets,175.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-35-coffee-sachets-caramel-flavour
35 Choco Mocha Flavour Instant Coffee Sachets,175.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-35-coffee-sachets-choco-mocha-flavour
Bevzilla coffee cubes pack of 8 Belgian chocolate,279.00,,No Discount,https://www.bevzilla.co/products/bevzilla-coffee-cubes-pack-of-8-belgian-chocolate
Bevzilla Instant Iced Tea Blueberry 15gm X 10,249.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-iced-tea-blueberry-15gm-x-10
Bevzilla Instant Iced Tea Watermelon 15gm X 10,249.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-iced-tea-watermelon-15gm-x-10
